path	bytes	lines	class	audit_status	flags
demo/model-inference/backend-king-php/tests/model-registry-contract.php	12602	206	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/model-registry-contract.sh	1102	28	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/node-profile-contract.php	12095	281	test	manual_audit_required	capabilities
demo/model-inference/backend-king-php/tests/node-profile-contract.sh	180	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/rag-orchestrator-contract.php	9061	146	test	manual_audit_required	orchestrator
demo/model-inference/backend-king-php/tests/rag-orchestrator-contract.sh	184	7	test	manual_audit_required	orchestrator
demo/model-inference/backend-king-php/tests/rag-telemetry-contract.php	3970	98	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/rag-telemetry-contract.sh	181	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/realtime-auth-contract.php	8902	172	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/realtime-auth-contract.sh	179	5	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/retrieval-pipeline-contract.php	7943	136	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/retrieval-pipeline-contract.sh	186	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/router-module-order-contract.php	9151	237	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/router-module-order-contract.sh	187	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/runtime-bootstrap-contract.php	10063	190	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/runtime-bootstrap-contract.sh	185	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/semantic-discover-contract.php	8627	172	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/semantic-discover-contract.sh	185	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/semantic-dns-contract.php	3799	116	test	manual_audit_required	capabilities,fallback
demo/model-inference/backend-king-php/tests/semantic-dns-contract.sh	180	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/semantic-dns-embedding-contract.php	2753	87	test	manual_audit_required	capabilities,fallback
demo/model-inference/backend-king-php/tests/semantic-dns-embedding-contract.sh	190	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/service-descriptor-contract.php	9621	211	test	manual_audit_required	capabilities
demo/model-inference/backend-king-php/tests/service-descriptor-contract.sh	186	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/service-embedding-store-contract.php	9689	205	test	manual_audit_required	capabilities
demo/model-inference/backend-king-php/tests/service-embedding-store-contract.sh	191	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/service-embedding-upsert-contract.php	9307	215	test	manual_audit_required	capabilities
demo/model-inference/backend-king-php/tests/service-embedding-upsert-contract.sh	192	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/text-chunker-contract.php	7184	151	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/text-chunker-contract.sh	180	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/token-frame-wire-contract.php	11702	237	test	manual_audit_required	regression,keyframe_delta
demo/model-inference/backend-king-php/tests/token-frame-wire-contract.sh	184	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/tool-descriptor-contract.php	10333	227	test	manual_audit_required	capabilities
demo/model-inference/backend-king-php/tests/tool-descriptor-contract.sh	183	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/tool-discover-contract.php	6230	133	test	manual_audit_required	capabilities
demo/model-inference/backend-king-php/tests/tool-discover-contract.sh	181	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/transcript-persistence-contract.php	10205	269	test	manual_audit_required	fallback
demo/model-inference/backend-king-php/tests/transcript-persistence-contract.sh	190	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/ui-chat-contract.php	6751	143	test	manual_audit_required	keyframe_delta
demo/model-inference/backend-king-php/tests/ui-chat-contract.sh	175	7	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/vector-store-contract.php	4239	108	test	manual_audit_required	
demo/model-inference/backend-king-php/tests/vector-store-contract.sh	180	7	test	manual_audit_required	
