path	bytes	lines	class	flags	audit_status
demo/video-chat/frontend-vue/tests/contract/sfu-auto-readback-recovery-contract.mjs	13686	301	test	sfu,reconnect,backpressure,capabilities,fallback,repair	manual_audit_required
demo/video-chat/docker-compose.v1.yml	19164	300	config	sfu,gossip,background,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/prod-debug-observability-contract.mjs	18256	283	test	sfu,background,reconnect,fallback	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/workspace/config.ts	9850	278	source	sfu,reconnect,backpressure,quality,fallback,repair,keyframe_delta	manual_audit_required
demo/video-chat/backend-king-php/tests/media-security-contract.php	22614	278	test	sfu,security,capabilities,fallback,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/tilePatchMetadata.ts	8574	278	source	sfu,background,reconnect,fallback	manual_audit_required
demo/video-chat/ops/metrics-alerts.catalog.json	7836	272	config	sfu,reconnect,backpressure,regression,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/src/domain/realtime/native/peerFactory.ts	10300	271	source	gossip,security,repair	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/outboundFrameQueue.ts	9094	268	source	sfu,background,reconnect,backpressure,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/src/modules/users/pages/overview/OverviewView.vue	8305	248	source	gossip,background,fallback	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/iam5-16-system-admin-lanes-extract-contract.mjs	16783	240	test	sfu,gossip,background,security,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/call-access-permission-change-active-call-contract.mjs	16019	240	test	sfu,background,reconnect	manual_audit_required
demo/video-chat/backend-king-php/domain/realtime/realtime_gossipmesh_room_state.php	8232	236	source	gossip,capabilities,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/sfu-motion-backpressure-contract.mjs	11398	234	test	sfu,backpressure,quality,keyframe_delta	manual_audit_required
demo/video-chat/frontend-vue/tests/contract/native-audio-bridge-contract.mjs	20686	230	test	sfu,security,reconnect,backpressure,regression,fallback,repair	manual_audit_required
demo/video-chat/frontend-vue/src/lib/sfu/selectiveTileTransport.ts	8008	229	source	sfu,background,reconnect	manual_audit_required
